agul,rus
азархана,больница
аттрухъуб,бред
ахттилат,беседа
багувел,близость
бала,беда
барцIак,буйволенок
бушкъаб,блюдце
вере вахтт,будущее
галун хур,боб
галун хIуни,божья коровка
гамиш,буйвол
гучI,боязнь
гъадахъай,булавка
гIаруцай,бездельник
гIаруцай,бродяга
гIудафанар,близнецы
гIурацай,бояка
дафтт,бубен
дургъу сив,болтун
завал,бедствие
заварин цIа,бедствие
касиб,бедняк
кваниш,браслет
китабхана,библиотека
ккунчI,букет
кулагъар,бусы
къачагъвел,байндитизм
къваланф,боковой
къев,бутон
къехIппе,блудница
къехIппевел,блуд
кIамай,болван
кIамай,болтун
кIечI,бурдюк
кIилле ус,брод
лит,бурка
лихун хъудаваф,безработный
муьрхI,береза
папушникI,бумажник
пIирпI,бук
ракь,бульон
рекIв,блеск
ругудж,бритва
тIур,бородавка
тIурфан,буря
укъаф,боец
укъаф,борец
укъуб,борьба
укьар,баран
унетI,бровь
хаз,белка
хул,борозда
хундуз,бобр
хIабабанф,бабушкин
хIемам,баня
цIабрахъил,бабочка
цIимилар,бахрома
цIуд,башня
чакма,ботинок
чара адававел,безвыходность
шилIан,бразды
шуша,бутылка
экьуб гъайшиб,быт
ярд,бычок
Iуьр,боль
алчархьеб,встреча
аттвере ус,выход
ачаверевус,вход
бурджуни,в долг
вартт,верх
варттал алеф,всевышний
верш ис,век
гьававел,высота
гIав,вымя
гIанцI,вой
гIерекьи,водка
гIихьаф,вкладчик
гIуьбехъ,вечер
даран вакк,вепрь
джалла ягIаф,всезнайка
джикал,вьюга
джуьре,вид
душманвел,вражда
зав куран гIад,Венера
зарар,вред
зузрзуб,вибрация
истти,весь год
ичира,все таки
йиркIвар лекIер,внутренности
йицIудра,вдесетяром
кеттивуб,вычитание
кканчч,выступ
кул,ветка
курц,вареник
къакъ,вьюк
къвагIанай,ворон
къикъевел,вес
кьисас,возмездие
кьиф,воронка
кьулар,весы
кIил дивуб,визит
кIукI,верхушка
кIукI,вершина
ларз,веранда
лепе,волна
лит,войлок
машрикь,восток
мум,воск
мункинвел,вероятность
мункинвел,возможность
муфеIет,выгода
мучIаъ,во тьме
мучIинан къулгун,вечерняя молитва
нетт,вошь
рагъ фагъучIа багв,восток
рагъ фагъучIуб,восход
сатти,в одиночку
суьхIуьр,волшебство
суьхIуьрчи,волшебник
таб,вена
тадж,венец
тахсир,вина
тереб,ветер
тталат,вторник
ттиъ,в этом году
тIамтIам,веснушка
тIафал,вор
тIегIем,вкус
тIем,вкус
тIил,веревка
тIубруц,вертушка
тIубруц,волчок
тIубруч,веретено
улин къарк,веко
хайир,выгода
халджак,веник
хуттул,внук
хуттул,внучка
хъадикIиб,воровство
хъаттрикI,вор
хъугъувел,вера
хьед,вода
хьеттинф,водянной
хьириг,веник
хьурхьур,волдырь
хьухьал,варежка
хIав,ворот
хIав,воротник
хIавел,власть
хIейвандил алеф,всадник
цац,в прошлом году
чара,возможность
чехир,вино
чIаранф,волосянной
чIирхIе ниъ,вонь
шейъ,вещь
шиш,вилка
эл,воздух
элхIед,воскресенье
яш,возраст
Iаш,влага
Iекунин гIад,венера
Iуй,вилка
Iуй,вилы
бабасил,геморрой
балхун,гной
бика,госпожа
бушевел,глухота
гунагьар кеяф,грешник
гурджибур,грузины
джейран,газель
завал,гибель
завар рухуб,гром
илле къаз,гусак
ис атIуб,годовщина
къадакъ,гвоздь
къаз,гусь
къакъ,груз
къускъун,горб
къускъунф,горбун
кьехIел,герой
кьехIелвел,геройство
кьулкьунвел,горечь
кьулкьунф,горький
кIед,галка
мастIала,головоломка
мехь,горсть
милехъв,гусеница
нар,гранат
нахьи,где же
нетI,гнида
пустталай,гриб
радж,грядка
раккаттай,гуляка
рухуб,грохот
руькъуьпай,грязнуля
суван хьир,горянка
суван шуй,горец
тIакьвач,грязнуля
уьркIевел,глубина
хумбе къаз,гусыня
хупI,глоток
хур,горошина
хуруб ликIиб,грамота
хъаттрикI,грабитель
хъел,гнев
хIавел,господство
хIезурвел,готовность
чIагI,грач
чIакь,горшок
чIигъан,гармонь
чIирин пеI,глухарь
чIур,головастик
шакъа,группа
шар,глист
Iуй,грабли
ахъирхIуб,добавление
багьаф,дорогой
бехIс,дискуссия
буркьунар,даргинцы
вархавел,дальность
верхI,долина
гъвадиккен,домовой
гьуркIуб,достаток
гIерза,донос
гIерзачи,доносчик
дусттвел,дружба
зав курастти,до рассвета
икьрар,договоренность
ирхевел,длина
кквал,доля
кквал акьуб,деление
къавум,дыня
къаш,драгоценный камень
къуллугъ,должность
кьул,доска
кьурц,долька
кIамай,дурак
лайикь,достоинство
массанф,дорогой
мехъуьн кIур,дуб
мудур,дитя
пай,доля
тIушуб,движение
угъалинф,дождевой
узуб,дойка
улуд,дыра
улуд,дырка
хъалхъам,дупло
хъугъувел,доверие
хьамхьам,десна
чибхар,двоюродная сестра
чибхар,двоюродный брат
шуван чу,деверь
эл,дыхание
эхIттибар,доверие
ягъуй,днем
Iуьссевел,дряхлость
гIерза,жалоба
джам,жених
зулмат,жестокость
ивра,жеребенок
ишарат,жест
кучевел,жар
кучевел,жара
къанихвел,жадность
къарфун,желудок
кьваницай,жук
легIли,жемчужина
нахшир,животное
себ,желчь
уцаф,жнец
хумбевел,женственность
хутI,жало
хъуьхъевел,желтизна
хьир акьуб,женитьба
эркьва мукь,жилье
эркьваф,жилец
Iегвалвел,жалость
IуьркI,жвачка
азар,зараза
ахъаджихIуб,забота
багамар,завтрак
багаминттар,завтрак
банд,запруда
бармакар,земляника
бахил,завистник
бахилвел,зависть
виргул,запятая
гIерза,заявление
гIерзачи,заявитель
джалла ягIаф,знаток
джилар зурзуб,землетрясение
ишарат,знак
ишарат,знамение
кичадилкуб,загибание
ккиркIуб,завершение
къадагъа,запрет
къанум,закон
къарфунар,запасы
къир,занавеска
кьаниIет,запас
лигимвел,закаленность
лигимвел,закалка
магъриб,запад
мастIала,загадка
мукь фацанас,занимать место
нахшир,зверь
неджбер,землеваделец
ниъ,запах
парда,занавес
парда,занавеска
рагъ учIа багв,запад
рагъ учIуб,закат
рагъ фацуб,затмение
руькъ,зола
сивахIанар,завтрак
суал алихьас,задавать вопрос
суал алихьас,задать вопрос
сунна,зурна
тамаша,зрелище
тIаратI,знамя
тIилкIан,загиб
уд,зернышко
улин Iегв,зрачок
ун,звук
хъагъишаф,заступник
хъагъишаф,защитник
хъагъишиб,заступничество
хъагъишиб,защита
хъел,злоба
цуц,зад
цIелп,зарница
чIирхIе ниъ,злавоние
шуван чи,золовка
язна,зять
Iайвел,зло
Iайвел,злость
Iегв,зеркало
аргIабакIар,кубачинцы
"ахира, ар)",конец
батIарвел,красота
бахълухъ,кувалда
бехIс,конкуренция
бика,княгиня
бицIи уд,крупинка
гами,корабль
гапур,кинжал
гвад,комок
гвад,комок
гвар,кувшин
гилерджв,клей
гитанпн чарккв,котенок
гургур,колокол
гургур,колокольчик
гъвандин устта,каменьщик
даран вакк,кабан
джад,кузница
диваф,курильщик
иревел,краснота
иркк,кость
ишкил,картина
ишкил,картинка
калам,капуста
кеф,кайф
китаб,книга
кканчч,клык
ккекку,кукушка
куб,кизяк
къазан,казан
къарк,кожура
къарк,кора
къафаз,клетка
къвар,коридор
къецI,кусачки
къубу,купол
къуй,колодец
къупп,клюв
къурмев,кот
кьадар,количество
кьантIузай,конопля
кьвадилкьван,ковер
кьвакьв,колено
кьвали,куст
кьул,крышка
кьуркьан кулагъ,кадык
кьурц,кусок
кьутт,камушек
кьушанар,кушанцы
кIватт,короб для складывания хлеба
кIекIв,кончик
кIетI,колос
кIилил гъирхIаф,контролер
маданият,культура
мастт,кефир
мацIахай,кривляка
мезуралвел,красноречивость
мерI,корень
мехIела,квартал
мудур,козленок
некьвар,кладбище
нирхI,крупа
пагьливан,канатоходец
пеIелан муг,курятник
руд,кишка
руджуран кьаб,копчик
рукьан устта,кузнец
руьхьуь хьед,кипяток
савдагар,купец
сал,коровник
тадж,корона
ттаккра,ключица
тIабар,капкан
тIил,канат
тIинкI,капля
уц,кипение
уцаф,косарь
фур,колесо
хазина,казна
хазина,клад
хазиначи,казначей
хайдакьар,кайтагцы
хач,крест
хвар,кобыла
хецIв,клещ
хъадикIиб,кража
хъерт,кол
хьеттин хул,канава
хьибу цIаб але IуькI,клевер
хIеджибугъда,кукуруза
хIу,клятва
хIуьрчал,крыса
цукI,корточки
цIакуф,косой
цIакуф,кривой
цIегь,коза
цIурцIул,куница
чибхар,кузен
чуькI,кузнечик
чIакь,котелок
шабалут,каштан
шатт,комар
шив,конь
шир,краска
эрдж,клеймо
Iабкьун,клоун
Iач,керамика
Iелеф,корм
Iуьй,кал
IуьхIуь,кашель
адабият,литература
бачI,лапа
гъилин гIан,ладонь
гъирд,липа
гIанцI,лай
гIудулвел,ласка
гIулана,летом
дукан,лавка
кканевел,любовь
ккедихьаф,ликвидатор
ккедихьуб,ликвидация
ккулинвел,лень
къархьил,локоть
кьиф,лейка
луьтке,лодка
маргъал,ландыш
мерккуранф,ледянной
нур,луч
тарихчи,летописец
ттураккен,ложница
турк,ласка
хатI,линия
цIаб,лист
ярккаяр,лезгины
яхулар,лакцы
Iаванцай,лягушка
Iуьр,лужа
алчагъ,мерзавец
бабвел,материнство
бангнишин чарккв,медвеженок
бицIиф,малец
бицIиф,малый
буIаф,молчун
гIезаб,мучение
гIудулвел,мягкость
дахе баб,мачеха
джигьилвел,молодость
джикал,метель
джуна,марля
дукан,магазин
завар джилар,мир
зибз,муравей
зур,моча
зурба,молодец
ислахIвел,мироность
кархана,мастерская
кквар,межа
къулгун,молитва
кьавалар,музыканты
кьапIкI,моль
кьисас,месть
кьумаш,материал
кьумаш,материя
кьурамат,материк
кьутI,морковь
кIачIалай,мизинец
кIватт,мерка
кIеф,мертвый
кIилле ус,мелководье
кIукI,макушка
лехIзе,мгновение
лехIзе,миг
макьам,мелодия
макьам,мотив
маскъв,мозг
месигь,мессия
мехIела,магал
минара,минарет
миннат,мольба
мугул,метла
мугIуйинф,мостовой
музеттар,мелкотня
музеттар,мелочь
нехъвар,мякина
рагIухъан,мельник
рехIми,милость
сагIбун,мыло
тупп,мяч
тур,меч
тIабар,мышеловка
тIутI,муха
устта,мастер
усттавел,мастерство
уьтт,мед
хьас,мочь
хьурхьур,мозоль
цIантук,мак
цIелепен,молния
чIирхIар,мусор
якк,мясо
Iегвалвел,милость
Iул,мышь
Iуьччуб,мойка
Iуьччуб,мытье
алчагъ,негодяй
ахтт,низ
бала,несчастье
бизар акьас,нодесть
даваттар,нарушения
дагIавел,незнание
дагIаф,незнакомец
джаза,наказание
дукьум,нитка
дукьум,нить
закат,налог
зулум,насилие
идарайин хIаф,начальник
ирс,наследство
ис атIас,наступать годовщине
кеф,наслаждение
кирк,ноготь
ккуьрз,наковальня
къай,ножны
къакъ,ноша
къулгун,намаз
кьуркьан кьаб,носоглотка
кIвал акьуб,напоминание
лучI,нетель
милатчивел,национализм
милехъвар,насекомые
муш,надежда
насихIет,назидание
насихIет,наставление
ният,намерение
падж,навес
сагелайра,ни разу
садра,ни один
сифир,ноль
сифир,нуль
тай,напарник
ттун,нитка
ттун,нить
ухаф,напиток
фурд,навоз
хаятI,нитка
хаятI,нить
хъехъуьран кул,ноздря
хьебавел,низость
хIуьттез,ножницы
цIае хабар,новость
шебетай,неумеха
Iуьрдеккендин хал,наволочка
Iуьш акьуб,ночевание
абкьан,полдень
агваракьуф,приведение
агваракьуф,призрак
адеб,приход
адеб,пришествие
алчагъ,подлец
ахун лехIеф,постель
аххтигьар,право
ацIувел,полнота
ачIан уркI,подмышка
ашбаз,повар
багьана,повод
багьана,причина
багIвай,придурок
банд,плотина
берхеч,паласник
бехIс,противостояние
бицIи джакьв,птичка
бицIи тал,полоска
варв,пчела
вартткIил,подъем
гагь,пора
гваджахъ хъирхIуб,подзатыльник
гулла,пуля
гулуб,потеря
гъуланф,покупатель
гъуршанф,покупатель
гъушуф,покупка
гьакIанди,просто так
гIачагуланас,пропасть
гIачагулуб,пропажа
даваттар,проступки
даваттин гунтI,проказник
дадарин дадар,предки
даллай,песня
дахе кIиркI,пасынок
дахе руш,падчерица
делекхана,парикмахерская
джакьв,птица
джалатI,палач
джумIе,пятница
джуьреф,постороний
духIуба акьуб,подмен
дуьхьуьб,примирение
езан,пахота
езан,пашня
езид,предатель
елкан,парус
есир,плен
зар,позолота
исттивут,перец
итни,понедельник
ишкил,портрет
йиркIвар лекIер,потроха
йируш,походка
йирхIунин цIаб,подорожник
кархана,предприятие
ккунчI,пучок
курц,пельмень
къабар,посуда
къакъ,поклажа
къарс,перхоть
къарфунар,припасы
къарфунар,продукты
къецI,пассатижы
къугъ,пух
къул,подпись
къум,песок
кьабахъай вереф,потомок
кьабул акьуб,принятие
кьалар,полынь
кьалар,полынь
кьалп,подделка
кьарар,постановление
кьимат,плата
кьуркI,парша
кьуркIач,паршивец
кьуш,половник
кIвал акьуб,подсказка
кIетI,початок
кIукI,пик
лекун кIен,подошва
лекI,печенка
лекI,печень
леIен,подкова
ликIинаттар,предписание
лиркIенф,писарь
лиркIенф,писец
манзил,промежуток
масса ирцIанф,продавец
мастт,простакваша
мач,поцелуй
мег,прическа
мег,прядь
мехь,пригоршня
мехIеджар,перила
мидахай,пленица
миннат,просьба
мисала,поговорка
мисала,пословица
мисала,притча
мубарак акьуб,поздравление
мурдал,поганец
мурдал,подлец
мурс,плесень
мурцI,перо
мутIеIвел,повиновение
мутIеIвел,подчинение
мутIеIвел,покорность
мутIеIвел,послушание
муфеIет,польза
мучIур,подбородок
нехъвар,полова
пурцI,пушинка
рагъун тук,подсолнух
раккаттай,попрашайка
раккаттай,попрошайка
рекъ итIанас,перекрывать дорогу
рекъ итIанас,перекрыть дорогу
ризкь,пропитание
ругIуб,помол
рутту некк,прокисшее молоко
руфуф,пьяный
руцуб,поиск
руькъ,пепел
руькъ,прах
садпеттилас мич,по порядку
саринвел,прохлада
сафар,путешествие
сафар,путь
син,проволока
суманвел,подобие
табалус,подорожник
тал,полоса
тарджума,перевод
тахсир,проступок
тупанчи,пистолет
тупп,пушка
тIабакI,поднос
тIавус,павлин
тIагарин кIен,подоконник
тIамтIам,пятно
тIур,прищ
уджас,печь
укун,пастбище
улуд,пещера
утунин дар,позвоночник
утIу нирхI,полба
ухуб,питье
фунин хутI,пуп
фунин хутI,пуповина
фунин хутI,пупок
хаб акьуб,повтор
хайир,польза
хайир,прок
хатI,почерк
хинзизай,паук
хумбехал,послед
хуттул,племяник
хуттул,племяница
хуттул,правнук
хуттул,правнучка
хъинитI,полка
хъурч,пустырь
хьилаба вереф,пешеход
хьилабанф,пешеход
хьухьал,перчатка
хIавел акьуб,правление
хIавел аркьаф,правитель
хIал,положение
хIуьлмат,почет
хIуьлмат,почтение
хIуьтIри,пиявка
цIин мез,пламя
чал,паутина
чапп,пеленка
чарккв,птенец
чIана,просто так
чIиб,пядь
шаб пеб,приглашение
шак,подозрение
шилIан,поводья
экI,пшеница
ягълукъ,платок
яIар архъаф,плавун
яIар ахъуб,плавание
Iайиб,позор
Iелеф,пища
IемкI,пот
IешрикI,плакса
Iуьр,пруд
IуьтIуб ухуб,питание
аххтигьар,разрешение
багувел,родство
багунттар,родственники
багунф,родственник
барбатI,руины
вархавел,расстояние
гелай,раз
гъавурди ихьуб,разъяснение
гъибгъер,рябина
гъилин рагI,ручная мельница
дадна баб,родители
джуьре,разновидность
джуьревел,разница
зав куруб,рассвет
ирхевел,рост
ишкил,рисунок
ккедихьуб,разрушение
ккубул,ревматизм
къачагъвел,разбой
къачагъвел,разбойничество
къехIппе,разратница
къехIппевел,разврат
къигI,раздор
къизилгуьл,роза
къирхаягъ,рак
къул,роспись
кьабза,расписка
кьалам,ручка
кьарар,резолюция
кьарар,решение
кьисас,реванш
кьисмат,рок
кьулла,родник
кIарантIур,родинка
кIарч,рог
ланда,рубанок
линг,рычаг
лиханф,работник
лиханф,рабочий
лукIвел,рабство
манат,рубль
манзил,расстояние
мехъв,ржавчина
мидахай,рабыня
мугулин тIул,ребро
мукьунттар,родственники
рагъухъан,радуга
радж,ряд
рух,русло
рух,ручей
туфанг,ружье
тIалакь,развод
фадархъаф,расточитель
фадахъуб,расточительство
хандаг,ров
хардж,расход
хеб,рождение
хъурчар,развалины
хъуттрихьел,рогатка
хьеттин хул,ручеек
хьир адикуб,развод
хьухьал,рукавица
хIавел,руководство
хIаф,руководитель
хIел,решение
цIипIцIипI,ресница
чиг,роса
чIекIер фарцанф,рыбак
чIирин гитан,рысь
шадвел,радость
азадвел,свобода
алчихьуб,сложение
архайинвел,спокойствие
ахтткIил,спуск
ацIувел,сытость
ашхана,столовая
балхун,сукровица
бахтт,счастье
бетIур,слякоть
бехIс,соперничество
булбул,соловей
бурчIан,свалка
ваккалан якк,свинина
ваккарихъан,свинарь
ваккарихъан,свинопас
верш,сотня
верш,сто
галун джакьв,скворец
гами,судно
гашила,с голоду
гиштта,свинка
гунчI,солод
гучI,страх
гучIала,со страху
гучIвел,страх
гъархьалай,соня
гъванкIар,север
гъузуб,стояние
гьел,скалка
гьел,стрела
гIайна,стекло
гIанцI,скул
гIар уцуб,сенокос
дараджа,степень
джагвар чIарар,седина
джам,сумма
джар,сливки
джар,слой
джуьре,сорт
диван,суд
завал аркьаф,сборщик
зуьлез,селезенка
ислахIвел,смиренность
ислахIф,смиренность
исттикан,стакан
иттевел,сладкость
иттеттар,сладости
иттеф,сладость
ишарат,сигнал
кафан,саван
кач,сука
келпит,спичка
киш,суббота
ккеттивуб,спасение
къаджар,стервятник
къал макъал,скандал
къарк,скорлупа
къир,смола
къуллугъ,служба
къуншивел,соседство
кьамкьаш,сухожилие
кьасабхана,скотобойня
кьелаккен,сольница
кьехIел,смельчак
кьимат,стоимость
кьисмат,судьба
кьуват,сила
кIаратI,стая
кIум,сметана
кIутIкIутIай,сосулька
лук,свясло
мал,скотина
малар,скот
малар ухIуб,скотоводство
меркез,столица
мехI,сыворотка
мукьуф,сноровка
нарат,сосна
негъв,слеза
неч,стыд
пази,сокол
пази чарккв,соколенок
пурар,седло
пурцI,снежинка
радж,строй
разивел,согласие
ракь,суп
рекъуьас аттархьас,сбиваться с пути
рекъуьас аттархьас,сбиться с пути
рекъуьас аттархьеф,сбившийся с пути
рекъуьъ учIас,собираться в дорогу
рекъуьъ учIас,собраться в дорогу
рекIв,сияние
савда,сделка
садж,сковородка
син,струна
сир,секрет
сукъурвел,слепота
султ,суббота
сум,соломинка
суманвел,сходство
сусан баб,сваха
суьретI,свирель
тур,сабля
тIухъ,соска
укьарф,самец
усттул,стул
ухIуб,сохранение
уьштт,свист
уьштт йирхIаф,свистун
фачикIуб,сравнение
хазина,сокровищница
хураф,студнец
хут,слива
хъаттхураф,сплетник
хъуьнтI,сопли
хьел,сноп
хьиджар чу,свояк
хьидулф,самка
хьил,след
хIал,состояние
хIаф,старший
хIисаб,счет
хIуьджат,спор
хIуьлдан,сталь
хIуьрчал,суслик
цIакIин,свадьба
цIицI,сверчок
чакма,сапог
чал,сетка
чал,сеть
четинвел,сложность
чирагъ,светильник
чул,степь
чIирхI,соринка
чIирхIар,сор
чIирхIе чIалар,сквернословие
чIирхIе чIалар агъаф,сквернослов
шагьид,свидетель
шак,сомнение
шаккар,сахар
шам,свеча
шуван баб,свекровь
шуван дад,свекр
шуйна хьир,супруги
эл ккетуб,скучание
элхъ,смех
эпел,скрида
эрбеI,среда
эргъелар,солома
ягъна Iуьш,сутки
ярхар,сели
яхI,совесть
яI,середина
Iаш,сырость
Iекьраб,скорпион
IемкI,сновидение
IемкI,сон
IуькIер,сено
Iуьссевел,старость
Iуьссеф,старик
Iуьччуб,стирка
агъзур,тысяча
бахьалай,толстуха
бухьач,толстяк
верхь,тополь
гучIрахI,трус
гучIрахIвел,трусость
гIурацай,трус
дафтт,тамбурин
зузрзуб,тряска
зулум,тирания
ибгIавел,теплота
икее руд,тонкая кишка
исал рекъ,тропинка
исалвел,теснота
ккихуб,терпение
ккул,тулуп
курси,табуретка
къабахъ,тыква
къакъ,тяжесть
кьаркьала,телосложение
кьумаш,ткань
лек ачирхIаттар,тапки
лек ачирхIаттар,тапочки
ликIинаттар,текст
лихъванф,танцор
лучI,телка
майит,труп
муссу,толокно
мутал,творог
нукьтIта,точка
рицI,тетива
савда,торг
савда,торговля
савдагар,торговец
суван кьун,тур
суьвевел,толщина
суьвевел,толщь
таш,таз
урчунан якк,телятина
уханар,табасараны
фенд,трюк
фендигар,трюкач
хандаг,траншея
хардж,трата
хъабахъ,тыква
хIаттин мукь,трон
хIаш,туалет
хIешв,тмин
четинвел,трудность
чибхарис хеттар,троюродная сестра
чибхарис хеттар,троюродный брат
чукьвар,телега
чIирин ккекк,тетерев
эхъ,тень
IартIв,тряпка
беневша,фиалка
бенешва,фиалка
гирванка,фунт
ишкил,фотография
кьалп,фальш
кIалиб,фасон
кIалиб,фигура
кIалиб,форма
тIаратI,флаг
чирагъ,фонарь
шавратI,фундамент
ашхана,харчевня
батIарди,хорошенкьо
ваба,холера
дехIера,хотя бы
зурба,храбрец
илле вакк,хряк
ккукк,хохолок
кьамкьаш,хрящ
кьехIел,храбрец
кьехIелвел,храбрость
кIамай,хвастун
лекухъанар,ходули
тегIриф,хвала
ухIуб,хранение
хасият,характер
хинкIар,хинкал
хуртIум,хобот
хIуьрчал,хомяк
чIепI,хлопок
Iаттай,хромец
Iаттач,хромец
Iаттеф,хромой
бустан,цветник
истти,целый год
килиса,церковь
кьимат,цена
ранг,цвет
цIибцIибай,цыпленок
чарккв,цыпленок
яI,центр
гиштта,чижик
гIемчи,чих
гIемчи,чихание
даллай,частушка
кабк,чесотка
кекивел,честность
кквал,часть
къаркагIуб,черепаха
кьуш,черпак
кIампур,челюсть
ламус,честь
маракам,чернила
мег,челка
мег,чуб
меркIв,чертополох
милехъв,червь
мучIурин кул,челюсть
пай,часть
руцIас,чувствовать боль
серг,чеснок
фунтай,чревоугодник
хамис,четверг
хураф,чтец
чайдан,чайник
чухай,черкеска
Iуьфер,чуду полукруглой формы
гъарпI,шлепок
гIаруцай,шалопай
гIаруцай,шатун
даваттар,шалости
даваттин гунтI,шалун
зарафат,шутка
ипак,шелк
ккул,шуба
парда,штора
радж,ширенга
реб,шило
реб,шприц
тIурфан,шторм
ун,шум
хукI,шапка
хьей,шерсть
хьиран чу,шурин
хIав,шея
чакъал,шакал
ччеI,шнур
ччеI,шнурок
чIивар,шиповник
Iабкьун,шут
Iама,шаг
Iама акьуб,шагание
IирIевел,ширина
вичIвичIар,щекотка
курцIул,щенок
къецI,щипцы
кIумпI,щека
хъуьссуйин кьул,щека
шутI,щипок
IуьчIе лус,щавель
агъул,агул
агъул шуй,агул
агъулар,агулы
батIар ниъ,аромат
ишттагь,аппетит
куршам,айва
къир,асфальт
кIут,альчик
машмаш,абрикос
пагьливан,акробат
сасуманвел,аналогия
сурхIар,аварцы
хъалпусак,арбуз
хIеракатвел,активность
хIуьджум,атака
чукьвар,арба
Iешукь,ашуг
джугьутI,еврей
зирд,ель
кьедибан,ёж
мере,ежевика
садвел,единство
Iелеф,еда
джугьутI,еврей
зирд,ель
кьедибан,ёж
мере,ежевика
садвел,единство
Iелеф,еда
аяттар,имение
аяттар,имущество
гандридж,иней
гулуб,исчезновение
гъил гъушанас,извенить
гъил гъушанас,извенять
гьинкI,икота
гIаттиваф,избиратель
джам,итог
дурхIаф,игрок
духIуба хьеб,изменение
кирадж,известка
кирадж,известь
ккедихьуб,истребление
кIенаккес,из под
ракьихъан,идживенец
руб,игла
руб,иголка
тарихчи,историк
тIилкIан,изгиб
усттавел,искусство
хардж,издержки
хъурмутI,инвалид
хIекьди,истино
чIул,ива
адавел,отсутствие
бустан,огород
ваъ пеб,отказ
гунчI,отросток спорыша
гъавурди ихьуб,объяснение
гъадичанас,обматать
гъирхIа мукь,остановка
гьучахьар,овес
гIайнабур,очки
дадвел,отцовство
дахе дад,отчим
джуваб ирцIанф,ответчик
джуьревел,отличие
диб,основа
духIуба акьуб,обмен
зегьер,отрава
иджи хураф,отличник
кунар,одежда
къалай,олово
кьатI,обрубок
кьатI,окурок
кьатI,отрезок
кьатI,отрывок
кьул,обложка
кIалиб,очертание
кIаратI,отара
кIекIв,острие
лехIеф,одеяло
ликь,оспа
маймун,обезьяна
мирг,олень
мукьуф,опыт
мурс,окисел
накьиш,орнамент
неккдин IуькI,одуванчик
ттур йирхIас,обручатсья
тIагIуб,опухоль
улуд,отверстие
ухIаф,охраник
ухIуб,охрана
фарз,обязанность
фунтай,обжора
хев,орех
хъагъишиб,оборона
хъел,обида
хъуттурфуб,осмотр
хьеттин джакьв,оляпка
хьеттин Iул,ондатра
хIа хIуьл,океан
хIекь-хIисаб,отчет
хIуппар ухIуб,овцеводство
хIурагIан,озорник
хIурагIанвел,озорство
хIуриншуй,односельчанин
хIуьттевел,острота
цул,осень
цулана,осенью
чешна,образец
чIал еб,обещание
яракь,оружие
ярш,ось
Iар акьас,опражнить
Iуьр,озеро
ахъаджихIуб,уход
багамин къулгун,утренняя молитва
бегьер,урожай
гучI гьихьуб,угроза
гьудгьудай,удот
гIачучаф,участник
гIачучIуб,участие
гIинчI,улыбка
дуьхьуьб,удача
зарар,убыток
зарар,ущерб
зарб,умножение
ибручI,уховертка
икьрар,уговор
исалвел,узость
итIул,узел
кеф,удовольствие
ккедихьуб,уничтожение
къулайвел,удобство
кьасаб,убой
кьацI,укус
кIарешум,уголь
лазат,удовольствие
миян,удобрение
накьиш,узор
суван кIукI,утес
суьппел,ус
урдаг,утка
ушуб,уход
хураф,ученик
хуруб,учеба
хьилагь хьас,уставать ногам
хьилагьинф,уставший ногами
хIавел акьуб,управление
хIавел аркьаф,управитель
хIуьлмат,уважение
чIепI гIадивас,ударять пощечину
шавлавел,усталость
шилIан,узда
Iуьшанттар,ужин
мертеба,этаж
тIубруц,юла
гьечин кIур,яблоня
джинегв,ястреб
зегьер,яд
идевел,явь
ишиг,ящик
куку,яичница
маджус,язычник
некьи,ягода
рес,ярлыга
тупп,ядро
урккагъ,ярмо
уркI,яма
цуц,ягодица
Iеквевел,яркость
